Generating SQLite file /home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.sqlite from /home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.nsys-rep
Processing [/home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.sqlite] with [/opt/nvidia/nsight-systems/2023.1.2/host-linux-x64/reports/cuda_gpu_trace.py]... 

 ** CUDA GPU Trace (cuda_gpu_trace):

  Start (ns)    Duration (ns)  CorrId  GrdX  GrdY  GrdZ  BlkX  BlkY  BlkZ  Reg/Trd  StcSMem (MB)  DymSMem (MB)  Bytes (MB)  Throughput (MBps)  SrcMemKd  DstMemKd           Device           Ctx  Strm         Name       
 9,150,774,614          1,568   2,120  None  None  None  None  None  None  None     None          None               0.003          1,632.653  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,151,155,606        425,952   2,135  None  None  None  None  None  None  None     None          None               3.277          7,690.650  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,151,811,254          2,112   2,150  None  None  None  None  None  None  None     None          None               0.008          3,636.357  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,152,197,206      1,459,009   2,165  None  None  None  None  None  None  None     None          None               9.830          6,733.824  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,153,892,375          1,568   2,180  None  None  None  None  None  None  None     None          None               0.003          1,632.653  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,154,512,279      1,343,073   2,199  None  None  None  None  None  None  None     None          None               8.755          6,513.869  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,156,101,272          2,048   2,214  None  None  None  None  None  None  None     None          None               0.007          3,339.842  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,156,492,600      1,344,353   2,229  None  None  None  None  None  None  None     None          None               8.755          6,505.114  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,158,076,825          2,016   2,244  None  None  None  None  None  None  None     None          None               0.007          3,392.852  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,158,653,913      1,341,345   2,263  None  None  None  None  None  None  None     None          None               8.755          6,522.624  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,160,234,042          1,600   2,278  None  None  None  None  None  None  None     None          None               0.003          1,600.000  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,160,452,218          1,568   2,293  None  None  None  None  None  None  None     None          None               0.003          1,632.653  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,160,663,066          1,536   2,308  None  None  None  None  None  None  None     None          None               0.003          1,666.665  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,161,049,210        451,360   2,323  None  None  None  None  None  None  None     None          None               3.277          7,258.112  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,161,725,850          2,112   2,338  None  None  None  None  None  None  None     None          None               0.008          3,636.357  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,162,133,018      1,524,801   2,353  None  None  None  None  None  None  None     None          None               9.830          6,438.912  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
